user_input,response,reference,retrieved_contexts
Does expression analysis elucidate the roles of MAML1 and Twist1 in esophageal squamous cell carcinoma aggressiveness and metastasis?,response,"We introduce Twist1 and MAML1 as new molecular markers of advanced tumor, which determine the characteristics and aggressive behavior of ESCC. Along with the emerging evidence of their role in different cellular processes and aberrations in various cancers, they are suggested as potentially interesting therapeutic targets to reverse a broad spectrum of functional aberrations that promote ESCC development.","['Epithelial-mesenchymal transition has recently attracted great attention in studying the malignant progression of cells through a converging pathway of oncogenesis and metastasis. Twist1 and Mastermind-like 1 (MAML1) are major regulators of EMT through different pathways. The aim of this study was to investigate the clinicopathological relevance of the expression of MAML-1 and Twist1 genes in esophageal squamous cell carcinoma (ESCC). Tumoral and corresponding normal tissues from 55 treatment-naive ESCC patients were subjected for expression analysis with quantitative real-time RT-PCR. Overexpression of MAML-1 and Twist1 were significantly associated with lymph node metastasis and the surgical staging of tumor. Overexpression of Twist1 was associated with tumor depth of invasion. Mean relative expression (MRE) of MAML1 was significantly higher in patients with metastasis to lymph nodes (3.07 ± 0.51 vs. 0.86 ± 0.58, P = .008). MRE of Twist1 was significantly higher in patients with invasion of tumor to adventitia (T3, T4) (1.97 ± 0.29 vs. 0.39 ± 0.73, P = .036). In advanced stages of tumor (stage III, IV), a significantly higher MRE of Twist1 (2.47 ± 0.41 vs. 1.25 ± 0.36, P = .035) and MAML1 (3.05 ± 0.45 vs. 1.07 ± 0.59, P = .021) mRNA was observed.']"
Does cardiac troponin-I accurately predict myocardial injury in renal failure?,response,"These data support the use of cTn-I for diagnosing myocardial injury in patients with renal failure. Elevated cTn-I levels are associated with increased short-term mortality in renal failure patients. The accuracy of cTn-I could potentially limit unnecessary cardiac testing in renal failure patients, while the enhanced sensitivity contributes to risk stratification and aids in diagnosing true myocardial injury in this population susceptible to non-specific elevations in other muscle enzymes.","['Non-specific elevations of creatine kinase isoenzymes (CK-MB) and cardiac troponin-T may be seen in renal failure, confusing the diagnosis of myocardial infarction. Cardiac troponin-I (cTn-I) has been shown to be specific for myocardial damage in several disease states, but has not been prospectively evaluated in the setting of renal failure. This prospective case series evaluated 56 patients with acute or chronic renal failure or end-stage renal disease to assess the sensitivity and specificity of cTn-I for detecting myocardial injury in this patient population. During a 6-month period, patients admitted with suspected myocardial injury by history, physical examination, and electrocardiography were evaluated. Cardiac troponin-I (cTn-I) measurements were assessed between 8 and 48 h after admission. Appropriate medical care and further cardiac testing (echocardiography, stress testing, or arteriography) was performed at the discretion of the primary physician. Myocardial injury was diagnosed in 18/56 (32%) patients by positive cTn-I levels, while only 7/56 (13%) patients had evidence of myocardial damage by CK-MB. Twenty-one of 56 (38%) patients had indeterminate CK-MB levels and 53% of these patients demonstrated myocardial ischaemia on follow-up testing. Sixteen patients had negative cardiac studies; all of these patients had negative cTn-I levels, while seven of these 16 (44%) patients had indeterminate CK-MB measurements. All of the patients with positive cTn-I levels had positive cardiac studies. Positive troponin levels were associated with increased in-hospital mortality. Sensitivity and specificity for CK-MB were 44 and 56% respectively, and 94 and 100% for cTn-I.']"
Are low adiponectin levels associated with atherogenic dyslipidemia and lipid-rich plaque in nondiabetic coronary arteries?,response,"Low adiponectin levels are associated with atherogenic lipoproteins (elevated triglycerides, small dense LDL cholesterol, and low HDL cholesterol), increased plaque volume, lipid-rich plaque, and IVUS-derived pathological intimal thickening in the total cohort that was driven by the nondiabetic population, suggesting an antiatherogenic role in the early stages of lesion development.","['The purpose of this study was to determine whether an association exists between adiponectin and plaque composition in human coronary arteries. Adiponectin is an adipocyte-derived protein with antiatherogenic and insulin-sensitizing properties. To date, the relationship between adiponectin and plaque composition is unknown. Fasting blood samples were collected from 185 patients undergoing coronary angiography and intravascular ultrasound (IVUS). Plaque composition was categorized as fibrous, fibrofatty, necrotic core, or dense calcium and further classified as IVUS-derived adaptive or pathological intimal thickening, fibroatheroma, fibrocalcific, or thin cap fibroatheroma. Adiponectin correlated with normalized plaque volume (r = -0.16, P = 0.025) and atheroma lipid content as measured by normalized fibrofatty volume (r = -0.19, P = 0.009). Low adiponectin levels were associated with IVUS-derived pathological intimal thickening (r = -0.18, P = 0.01). With increasing quartiles (Q) of adiponectin, the normalized volume of fibrofatty plaque decreased (P = 0.03), which was driven by reductions in the nondiabetic cohort (Q1 44.2 mm(3); Q2 28.2 mm(3); Q3 24.7 mm(3); and Q4 23.4 mm(3); P = 0.01). No similar association was present in diabetic patients. Low adiponectin levels were also associated with IVUS-derived pathological intimal thickening in nondiabetic (r = -0.20, P = 0.03) but not diabetic patients.']"
Is serum cholesterol a significant and independent mortality predictor in liver cirrhosis patients?,response,"Serum cholesterol is a routinely measured parameter, which has independent prognostic value in patients with liver cirrhosis.","[""Accurate assessment of cirrhotic patient's prognosis is essential for decisions regarding the course of treatment. Therefore we aimed to confirm and quantify the predictive value of serum cholesterol and serum triglycerides in liver cirrhosis patients. We performed a retrospective observational cohort study on consecutive patients with liver cirrhosis (n = 191). Relevant clinical and laboratory variables were obtained from patients' charts and patients were followed for two months. Mortality was the main outcome. Thirty-eight patients died in the follow-up period. Significant difference was observed in the level of total serum cholesterol between surviving and deceased patients (2.27 ± 1.02 mmol/L vs. 2.97 ± 1.00 mmol/L, P < 0.0001 respectively). Cholesterol was confirmed as a significant predictor of mortality in univariate logistic regression analysis, and independent predictor beside bilirubin, creatinine and MELD score in multivariate logistic regression analysis. Addition of serum cholesterol level to a prognostic model based on total bilirubin, creatinine and INR increased its accuracy by 4%. Adding cholesterol to the MELD score improved prediction accuracy by 3%. There was no significant difference in serum levels of triglycerides between surviving and deceased patients.""]"
Is There Any Relation Between the Degree of Fatty Liver Disease and Severity of Lower Urinary Tract Symptoms?,response,"No significant associations were found between NAFLD and LUTS in middle-aged men, and the degree of NAFLD was not significantly associated with the severity of LUTS in trend. The role of NAFLD, in comparison with age, might be too small to change the LUTS.","['To evaluate the association between the degree of fatty liver disease and severity of lower urinary tract symptoms (LUTS) in healthy middle-aged males. A total of 1943 Korean men aged between 40 and 70 years who had participated in the voluntary health checkup program from January 2012 to December 2014 were enrolled. LUTS were evaluated with the International Prostate Symptom Score (IPSS) questionnaire. Abdominal ultrasonography was performed to assess nonalcoholic fatty liver disease (NAFLD). Trend test was performed to investigate the association between the degree of fatty liver disease and LUTS severity. Differences between the two groups were analyzed by chi-square test, and we adjusted for confounding factors with analysis of covariance and logistic regression test. The mean age was 51.79\u2009±\u20097.03 years, and 1026 (52.8%) subjects were determined to have NAFLD. Differences in categorical variables, between NAFLD grades and IPSS grades, were analyzed by Trend test, and no significant difference was observed (Pearson chi-square, P \u2009= \u2009.155; likelihood ratio, P \u2009=\u2009 .151; linear-by-linear association, P \u2009=\u2009 .527). After adjustment for age, body mass index, metabolic syndrome, C-reactive protein, prostate-specific antigen, prostate volume with analysis of covariance, and multiple logistic regression test, no significant associations were found between IPSS and NAFLD.']"
Are factor V Leiden and antiphospholipid antibodies significant risk factors for ischemic stroke in children?,response,"These data suggest that the prevalence of thrombophilia markers is increased in children with stroke compared with control subjects and, specifically, that FVL and APLA contribute significantly to stroke occurrence.","['The association between ischemic childhood stroke and thrombophilia has been debated. We studied the prevalence of thrombophilia risk factors in 65 unrelated children with ischemic stroke compared with 145 control subjects. Patients and control subjects were tested for antithrombin protein C and protein S deficiencies, the presence of antiphospholipid antibodies (APLA), factor V Leiden (FVL), G20210A polymorphism of factor II gene (FII G20210A), and C677T polymorphism of 5,10-methylenetetrahydrofolate reductase gene (C677T MTHFR). Of 65 children, 7 had a stroke in the neonatal/perinatal period and therefore were analyzed separately. Thirty-one of the remaining 58 patients with pediatric stroke (53.4%) were found to have at least 1 thrombophilia marker compared with only 25.5% of control subjects. None of the patients or control subjects had protein S or antithrombin III deficiency. The prevalence of protein C deficiency was higher among pediatric stroke patients than among control subjects, but the difference was not statistically significant (OR=7, 95% CI 0.75 to 65.1). Heterozygous FII G20210A and homozygous MTHFR 677T were not associated with an increased risk for stroke (OR=1.29, 95% CI 0.2 to 8.2; and OR=1.06, 95% CI 0.4 to 2.7, respectively). In contrast, the presence of APLA was associated with a >6-fold risk of stroke (OR=6. 08, 95% CI 1.5 to 24.3), and the heterozygosity for FVL increased the risk of stroke by almost 5-fold (OR=4.82, 95% CI 1.4 to 16.5). Five patients with pediatric stroke had a combination of > or =2 thrombophilia markers, whereas none of the control subjects had a combination of the markers. Most of the patients with neonatal/perinatal stroke were found to have at least 1 thrombophilia marker.']"
Abdominal and pelvic CT in cases of suspected abuse: can clinical and laboratory findings guide its use?,response,"CTs of the abdomen and pelvis are infrequently positive in cases of suspected abuse. To reduce radiation exposure, CTs should only be ordered if there are findings indicating that they may be positive. In our population, these findings include absent/hypoactive bowel sounds, LFTs greater than twice normal and ≥2 abnormal labs or physical exam findings.","['Incomplete history and concern for occult injury in suspected child abuse occasionally results in CT screenings of the abdomen and pelvis. At our institution, we noted that these exams were infrequently positive. To identify clinical or laboratory criteria that may predict intra-abdominal injury and guide the use of abdominal and pelvic CT in this population. This retrospective review involved 68 children older than 36\xa0months who had a CT of the abdomen/pelvis for suspected abuse. CT results and patient charts were reviewed for physical exam and historical and laboratory variables. CTs were positive in 16% of patients (11/68). Hypoactive/absent bowel sounds (P\u2009=\u20090.01, specificity\u2009=\u200994.7%) and AST and ALT values greater than twice normal (P\u2009=\u20090.004 and P\u2009=\u20090.003 respectively, NPV\u2009=\u200993.6%) were significantly associated with positive CTs. Multiple abnormal physical exam or laboratory findings were also significantly associated with positive CTs (P\u2009=\u20090.03 and P\u2009=\u20090.002 respectively, specificity\u2009=\u200991.3% and NPV\u2009=\u200993.6% respectively).']"
Is lack of TGF-β production by hepatitis C virus-specific T cells during HCV acute phase associated with HCV clearance in HIV coinfection?,response,"During acute hepatitis C, pre-therapeutic HCV-specific TGF-β-producing T cells are a new marker independent of the IL-28B gene polymorphism, predicting the lack of spontaneous or therapeutic HCV clearance.","[""Immunity and genetic factors govern the recovery from acute hepatitis C virus (HCV) infection. No predictive factors have been yet identified in patients coinfected with the human immunodeficiency virus (HIV). We investigated whether early T cell responses to HCV producing transforming-growth-factor beta (TGF-β) predict the outcome of acute HCV coinfection, independently of the IL-28B gene polymorphism. Intracellular cytokine staining assays against HCV-core, E1, NS2, and NS4 overlapping peptides were used for the analysis of peripheral HCV-specific TGF-β-producing T cells. Patients were genotyped for IL-28B polymorphisms. Healthy donors' samples were tested as controls. Twenty-four acute hepatitis C-HIV+ patients were followed-up for 15 months defining two groups: (A) Recovered (n=16, 5 spontaneous recoveries, 11 sustained virologic response after treatment), (B) Chronic HCV (n=8, 4 spontaneous chronic course, 4 therapeutic failures). During the acute pretreatment phase, core/NS2-specific TGF-β-producing CD4+ and/or CD8+ T cells were detected in 8/24 (33%) patients. Lack of anti-HCV TGF-β+ cells was characteristic of healthy donors and Group A, except for 2 cases, with frequencies significantly lower than in Group B (p=0.04 and 0.01), and was associated with recovery in 14/16 cases. Presence of anti-HCV TGF-β+ cells was associated with persistent viremia in 6/8 cases (p=0.005). This profile remained stable over time. Such TGF-β production was independent of the rs129679860 SNP (p=1.0) which was not associated with recovery (p=1.0).""]"
Does size and site matter for renal stones up to 30-mm in size in children treated by extracorporeal lithotripsy?,response,"ESWL is highly effective for pediatric renal stones, with minimal morbidity. Stone clearance is not adversely affected by a stone size up to 30 mm; however, lower pole caliceal stones and stones impacted at the ureteropelvic junction have relatively poorer clearance. Eighty percent of patients who failed to clear their stones had a double-J stent.","['To determine the safety and efficacy of extracorporeal shock wave lithotripsy (ESWL) in the treatment of pediatric nephrolithiasis and to analyze the impact of renal stone size and location on stone clearance. This was a retrospective case series of pediatric patients (14 years or younger) undergoing lithotripsy using a Dornier MPL 9000 echo-guided lithotriptor. Patients were identified using an international coding and indexing system (9th edition) and ESWL registry. One hundred five patients were treated from January 1990 to December 2001. Stone clearance was assessed at 1 and 3 months. A stone-free state was defined as no radiologic evidence of stone or fragments 3 mm or less. Treatment failure was analyzed to find any correlation with stone size and site. The overall stone-free rate was 95%. The treatment failed in 5 patients, who subsequently required ancillary procedures. Three patients received one session of ESWL, after which they were lost to treatment and were not analyzed further. Four of the five patients with treatment failure had a double-J stent; the stones were located in the lower pole calix in 2, renal pelvis and lower pole calix in 1, and at the ureteropelvic junction in 2 patients. The mean stone size in the treatment failure group was 15.88 mm compared with 14 mm in the stone-free group. The complication rate was 8%, but only 3 patients required admission.']"
Does larger tumor size predict nodal involvement in patients with follicular thyroid carcinoma?,response,"Lymph node dissection must be planned only in the case of large follicular thyroid carcinomas. Since follicular carcinoma is usually diagnosed postoperatively, more attention should be paid to nodal involvement in the tumor re-staging during follow-up of those patients with tumors larger than 4.0 cm in diameter.","['Lymph node metastases are rare in patients with follicular thyroid carcinoma, with an average incidence of 5.5% of all cases reported in the literature. In the present study we focused on the search for risk factors predictive of lymph node involvement in patients with follicular thyroid carcinoma to plan the most appropriate management and follow-up. We carried out a cross-sectional study among patients with follicular thyroid carcinoma and lymph node metastasis at diagnosis and patients without lymph node involvement. From January 1998 to April 2008, 930 patients underwent thyroidectomy in our surgical department for a variety of thyroid disorders, 420 (45.2%) of them for a differentiated thyroid carcinoma. The medical records of 55 patients with histological diagnosis of follicular thyroid carcinoma were analyzed. Four patients (7.3%) had lymph node metastasis from follicular thyroid carcinoma at presentation in both the lateral and central neck compartments. Mean tumor size was significantly greater for follicular thyroid carcinomas with nodal metastasis (5.1 ± 1.4 cm) than for those without nodal involvement (3.0 ± 1.2 cm, P <0.010). Among factors supposed to influence the presence of nodal metastasis at diagnosis (age, gender, tumor size, multifocality, tumor poorly differentiated, tumor widely invasive, vascular invasion, thyroid capsular invasion, and extra thyroid invasion), tumor size larger than 4.0 cm was the only factor retained in the multivariate statistical model.']"
Gastrostomy tube placement in infants and children: is there a preferred technique?,response,"Minimally invasive PEG and LAP techniques have supplanted the open technique for most patients. Operative time for PEG placement is shorter than other methods, and patients chosen for the PEG method of placement are older and of greater weight. However, there were significant and more serious postoperative complications requiring a second operation in the PEG group when compared with the LAP group.","['Advances in percutaneous endoscopic gastrostomy (PEG) and laparoscopic (LAP) techniques, including LAP-assisted PEG, offer alternatives to the standard open gastrostomy technique. This study compares the outcomes of the PEG and LAP techniques. All gastrostomy tube placements were reviewed at our institution from January 2004 to October 2008. Demographic, procedural, and outcome data were collected. Univariate and logistic regression statistical analysis was performed with SPSS (SPSS, Chicago, IL), and P<or = .05 considered significant. Of 238 gastrostomy tubes placed, 134 were PEG (56.3%) and 104 were LAP (43.7%). Most tubes were inserted for failure to thrive (74.4%) and feeding difficulties (52.1%). Patient weight and age were increased and operative time decreased for PEG compared with other methods. Percutaneous endoscopic gastrostomy patients also had a statistically higher number of postoperative complications, requiring a return trip to the operating room (P = .02).']"
